"","week","author","commits","total","project_total"
"1",1,"rasmusab",0,0,9806
"2",1,"kloesing",0,0,9806
"3",1,"briandk",0,0,9806
"4",1,"dariobuttari",0,0,9806
"5",1,"yihui",0,0,9806
"6",1,"lehy",0,0,9806
"7",1,"crowding",0,0,9806
"8",1,"lianos",0,0,9806
"9",1,"jrnold",0,0,9806
"10",1,"davidmorrison",0,0,9806
"11",1,"djmurphy420",0,0,9806
"12",1,"wligtenberg",0,0,9806
"13",1,"baptiste",0,0,9806
"14",1,"jimhester",0,0,9806
"15",1,"krlmlr",0,0,9806
"16",1,"jiho",0,0,9806
"17",1,"joranE",0,0,9806
"18",1,"BrianDiggs",0,0,9806
"19",1,"JakeRuss",0,0,9806
"20",1,"kohske",0,0,9806
"21",1,"wch",0,0,9806
"22",1,"hadley",9806,9806,9806
"23",2,"rasmusab",0,0,27
"24",2,"kloesing",0,0,27
"25",2,"briandk",0,0,27
"26",2,"dariobuttari",0,0,27
"27",2,"yihui",0,0,27
"28",2,"lehy",0,0,27
"29",2,"crowding",0,0,27
"30",2,"lianos",0,0,27
"31",2,"jrnold",0,0,27
"32",2,"davidmorrison",0,0,27
"33",2,"djmurphy420",0,0,27
"34",2,"wligtenberg",0,0,27
"35",2,"baptiste",0,0,27
"36",2,"jimhester",0,0,27
"37",2,"krlmlr",0,0,27
"38",2,"jiho",0,0,27
"39",2,"joranE",0,0,27
"40",2,"BrianDiggs",0,0,27
"41",2,"JakeRuss",0,0,27
"42",2,"kohske",0,0,27
"43",2,"wch",0,0,27
"44",2,"hadley",27,9833,27
"45",3,"rasmusab",0,0,0
"46",3,"kloesing",0,0,0
"47",3,"briandk",0,0,0
"48",3,"dariobuttari",0,0,0
"49",3,"yihui",0,0,0
"50",3,"lehy",0,0,0
"51",3,"crowding",0,0,0
"52",3,"lianos",0,0,0
"53",3,"jrnold",0,0,0
"54",3,"davidmorrison",0,0,0
"55",3,"djmurphy420",0,0,0
"56",3,"wligtenberg",0,0,0
"57",3,"baptiste",0,0,0
"58",3,"jimhester",0,0,0
"59",3,"krlmlr",0,0,0
"60",3,"jiho",0,0,0
"61",3,"joranE",0,0,0
"62",3,"BrianDiggs",0,0,0
"63",3,"JakeRuss",0,0,0
"64",3,"kohske",0,0,0
"65",3,"wch",0,0,0
"66",3,"hadley",0,9833,0
"67",4,"rasmusab",0,0,97
"68",4,"kloesing",0,0,97
"69",4,"briandk",0,0,97
"70",4,"dariobuttari",0,0,97
"71",4,"yihui",0,0,97
"72",4,"lehy",0,0,97
"73",4,"crowding",0,0,97
"74",4,"lianos",0,0,97
"75",4,"jrnold",0,0,97
"76",4,"davidmorrison",0,0,97
"77",4,"djmurphy420",0,0,97
"78",4,"wligtenberg",0,0,97
"79",4,"baptiste",0,0,97
"80",4,"jimhester",0,0,97
"81",4,"krlmlr",0,0,97
"82",4,"jiho",0,0,97
"83",4,"joranE",0,0,97
"84",4,"BrianDiggs",0,0,97
"85",4,"JakeRuss",0,0,97
"86",4,"kohske",0,0,97
"87",4,"wch",0,0,97
"88",4,"hadley",97,9930,97
"89",5,"rasmusab",0,0,36
"90",5,"kloesing",0,0,36
"91",5,"briandk",0,0,36
"92",5,"dariobuttari",0,0,36
"93",5,"yihui",0,0,36
"94",5,"lehy",0,0,36
"95",5,"crowding",0,0,36
"96",5,"lianos",0,0,36
"97",5,"jrnold",0,0,36
"98",5,"davidmorrison",0,0,36
"99",5,"djmurphy420",0,0,36
"100",5,"wligtenberg",0,0,36
"101",5,"baptiste",0,0,36
"102",5,"jimhester",0,0,36
"103",5,"krlmlr",0,0,36
"104",5,"jiho",0,0,36
"105",5,"joranE",0,0,36
"106",5,"BrianDiggs",0,0,36
"107",5,"JakeRuss",0,0,36
"108",5,"kohske",0,0,36
"109",5,"wch",0,0,36
"110",5,"hadley",36,9966,36
"111",6,"rasmusab",0,0,43
"112",6,"kloesing",0,0,43
"113",6,"briandk",0,0,43
"114",6,"dariobuttari",0,0,43
"115",6,"yihui",0,0,43
"116",6,"lehy",0,0,43
"117",6,"crowding",0,0,43
"118",6,"lianos",0,0,43
"119",6,"jrnold",0,0,43
"120",6,"davidmorrison",0,0,43
"121",6,"djmurphy420",0,0,43
"122",6,"wligtenberg",0,0,43
"123",6,"baptiste",0,0,43
"124",6,"jimhester",0,0,43
"125",6,"krlmlr",0,0,43
"126",6,"jiho",0,0,43
"127",6,"joranE",0,0,43
"128",6,"BrianDiggs",0,0,43
"129",6,"JakeRuss",0,0,43
"130",6,"kohske",0,0,43
"131",6,"wch",0,0,43
"132",6,"hadley",43,10009,43
"133",7,"rasmusab",0,0,0
"134",7,"kloesing",0,0,0
"135",7,"briandk",0,0,0
"136",7,"dariobuttari",0,0,0
"137",7,"yihui",0,0,0
"138",7,"lehy",0,0,0
"139",7,"crowding",0,0,0
"140",7,"lianos",0,0,0
"141",7,"jrnold",0,0,0
"142",7,"davidmorrison",0,0,0
"143",7,"djmurphy420",0,0,0
"144",7,"wligtenberg",0,0,0
"145",7,"baptiste",0,0,0
"146",7,"jimhester",0,0,0
"147",7,"krlmlr",0,0,0
"148",7,"jiho",0,0,0
"149",7,"joranE",0,0,0
"150",7,"BrianDiggs",0,0,0
"151",7,"JakeRuss",0,0,0
"152",7,"kohske",0,0,0
"153",7,"wch",0,0,0
"154",7,"hadley",0,10009,0
"155",8,"rasmusab",0,0,0
"156",8,"kloesing",0,0,0
"157",8,"briandk",0,0,0
"158",8,"dariobuttari",0,0,0
"159",8,"yihui",0,0,0
"160",8,"lehy",0,0,0
"161",8,"crowding",0,0,0
"162",8,"lianos",0,0,0
"163",8,"jrnold",0,0,0
"164",8,"davidmorrison",0,0,0
"165",8,"djmurphy420",0,0,0
"166",8,"wligtenberg",0,0,0
"167",8,"baptiste",0,0,0
"168",8,"jimhester",0,0,0
"169",8,"krlmlr",0,0,0
"170",8,"jiho",0,0,0
"171",8,"joranE",0,0,0
"172",8,"BrianDiggs",0,0,0
"173",8,"JakeRuss",0,0,0
"174",8,"kohske",0,0,0
"175",8,"wch",0,0,0
"176",8,"hadley",0,10009,0
"177",9,"rasmusab",0,0,654
"178",9,"kloesing",0,0,654
"179",9,"briandk",0,0,654
"180",9,"dariobuttari",0,0,654
"181",9,"yihui",0,0,654
"182",9,"lehy",0,0,654
"183",9,"crowding",0,0,654
"184",9,"lianos",0,0,654
"185",9,"jrnold",0,0,654
"186",9,"davidmorrison",0,0,654
"187",9,"djmurphy420",0,0,654
"188",9,"wligtenberg",0,0,654
"189",9,"baptiste",0,0,654
"190",9,"jimhester",0,0,654
"191",9,"krlmlr",0,0,654
"192",9,"jiho",0,0,654
"193",9,"joranE",0,0,654
"194",9,"BrianDiggs",0,0,654
"195",9,"JakeRuss",0,0,654
"196",9,"kohske",0,0,654
"197",9,"wch",0,0,654
"198",9,"hadley",654,10663,654
"199",10,"rasmusab",0,0,79
"200",10,"kloesing",0,0,79
"201",10,"briandk",0,0,79
"202",10,"dariobuttari",0,0,79
"203",10,"yihui",0,0,79
"204",10,"lehy",0,0,79
"205",10,"crowding",0,0,79
"206",10,"lianos",0,0,79
"207",10,"jrnold",0,0,79
"208",10,"davidmorrison",0,0,79
"209",10,"djmurphy420",0,0,79
"210",10,"wligtenberg",0,0,79
"211",10,"baptiste",0,0,79
"212",10,"jimhester",0,0,79
"213",10,"krlmlr",0,0,79
"214",10,"jiho",0,0,79
"215",10,"joranE",0,0,79
"216",10,"BrianDiggs",0,0,79
"217",10,"JakeRuss",0,0,79
"218",10,"kohske",0,0,79
"219",10,"wch",0,0,79
"220",10,"hadley",79,10742,79
"221",11,"rasmusab",0,0,0
"222",11,"kloesing",0,0,0
"223",11,"briandk",0,0,0
"224",11,"dariobuttari",0,0,0
"225",11,"yihui",0,0,0
"226",11,"lehy",0,0,0
"227",11,"crowding",0,0,0
"228",11,"lianos",0,0,0
"229",11,"jrnold",0,0,0
"230",11,"davidmorrison",0,0,0
"231",11,"djmurphy420",0,0,0
"232",11,"wligtenberg",0,0,0
"233",11,"baptiste",0,0,0
"234",11,"jimhester",0,0,0
"235",11,"krlmlr",0,0,0
"236",11,"jiho",0,0,0
"237",11,"joranE",0,0,0
"238",11,"BrianDiggs",0,0,0
"239",11,"JakeRuss",0,0,0
"240",11,"kohske",0,0,0
"241",11,"wch",0,0,0
"242",11,"hadley",0,10742,0
"243",12,"rasmusab",0,0,1127
"244",12,"kloesing",0,0,1127
"245",12,"briandk",0,0,1127
"246",12,"dariobuttari",0,0,1127
"247",12,"yihui",0,0,1127
"248",12,"lehy",0,0,1127
"249",12,"crowding",0,0,1127
"250",12,"lianos",0,0,1127
"251",12,"jrnold",0,0,1127
"252",12,"davidmorrison",0,0,1127
"253",12,"djmurphy420",0,0,1127
"254",12,"wligtenberg",0,0,1127
"255",12,"baptiste",0,0,1127
"256",12,"jimhester",0,0,1127
"257",12,"krlmlr",0,0,1127
"258",12,"jiho",0,0,1127
"259",12,"joranE",0,0,1127
"260",12,"BrianDiggs",0,0,1127
"261",12,"JakeRuss",0,0,1127
"262",12,"kohske",0,0,1127
"263",12,"wch",0,0,1127
"264",12,"hadley",1127,11869,1127
"265",13,"rasmusab",0,0,350
"266",13,"kloesing",0,0,350
"267",13,"briandk",0,0,350
"268",13,"dariobuttari",0,0,350
"269",13,"yihui",0,0,350
"270",13,"lehy",0,0,350
"271",13,"crowding",0,0,350
"272",13,"lianos",0,0,350
"273",13,"jrnold",0,0,350
"274",13,"davidmorrison",0,0,350
"275",13,"djmurphy420",0,0,350
"276",13,"wligtenberg",0,0,350
"277",13,"baptiste",0,0,350
"278",13,"jimhester",0,0,350
"279",13,"krlmlr",0,0,350
"280",13,"jiho",0,0,350
"281",13,"joranE",0,0,350
"282",13,"BrianDiggs",0,0,350
"283",13,"JakeRuss",0,0,350
"284",13,"kohske",0,0,350
"285",13,"wch",0,0,350
"286",13,"hadley",350,12219,350
"287",14,"rasmusab",0,0,214
"288",14,"kloesing",0,0,214
"289",14,"briandk",0,0,214
"290",14,"dariobuttari",0,0,214
"291",14,"yihui",0,0,214
"292",14,"lehy",0,0,214
"293",14,"crowding",0,0,214
"294",14,"lianos",0,0,214
"295",14,"jrnold",0,0,214
"296",14,"davidmorrison",0,0,214
"297",14,"djmurphy420",0,0,214
"298",14,"wligtenberg",0,0,214
"299",14,"baptiste",0,0,214
"300",14,"jimhester",0,0,214
"301",14,"krlmlr",0,0,214
"302",14,"jiho",0,0,214
"303",14,"joranE",0,0,214
"304",14,"BrianDiggs",0,0,214
"305",14,"JakeRuss",0,0,214
"306",14,"kohske",0,0,214
"307",14,"wch",0,0,214
"308",14,"hadley",214,12433,214
"309",15,"rasmusab",0,0,28
"310",15,"kloesing",0,0,28
"311",15,"briandk",0,0,28
"312",15,"dariobuttari",0,0,28
"313",15,"yihui",0,0,28
"314",15,"lehy",0,0,28
"315",15,"crowding",0,0,28
"316",15,"lianos",0,0,28
"317",15,"jrnold",0,0,28
"318",15,"davidmorrison",0,0,28
"319",15,"djmurphy420",0,0,28
"320",15,"wligtenberg",0,0,28
"321",15,"baptiste",0,0,28
"322",15,"jimhester",0,0,28
"323",15,"krlmlr",0,0,28
"324",15,"jiho",0,0,28
"325",15,"joranE",0,0,28
"326",15,"BrianDiggs",0,0,28
"327",15,"JakeRuss",0,0,28
"328",15,"kohske",0,0,28
"329",15,"wch",0,0,28
"330",15,"hadley",28,12461,28
"331",16,"rasmusab",0,0,4314
"332",16,"kloesing",0,0,4314
"333",16,"briandk",0,0,4314
"334",16,"dariobuttari",0,0,4314
"335",16,"yihui",0,0,4314
"336",16,"lehy",0,0,4314
"337",16,"crowding",0,0,4314
"338",16,"lianos",0,0,4314
