"","Name","Owner","Created","Pushed","Watchers","Forks"
"1","remoji","richfitz","2015-02-13","2015-02-13",7,1
"2","Make_Task","trinker","2015-02-10","2015-02-11",7,3
"3","FruitSnacks","kbroman","2015-02-07","2015-02-15",7,1
"4","stackr","dgrtwo","2015-02-04","2015-02-04",11,2
"5","WikidataR","Ironholds","2015-02-01","2015-02-12",7,0
"6","social-media-workshop","pablobarbera","2015-01-31","2015-02-17",19,6
"7","SQL","rstats-db","2015-01-15","2015-02-11",9,2
"8","rlp","yihui","2014-12-29","2014-12-30",23,1
"9","ggvis-maps","hrbrmstr","2014-12-29","2014-12-29",17,6
"10","rnotebook","yihui","2014-12-26","2014-12-30",13,1
"11","covr","jimhester","2014-12-21","2015-02-20",43,8
"12","rbokeh","ramnathv","2014-12-12","2014-12-16",17,3
"13","purrr","hadley","2014-11-29","2015-02-21",81,15
"14","ctv-finance","eddelbuettel","2014-11-29","2015-02-23",10,7
"15","ctv-hpc","eddelbuettel","2014-11-29","2015-02-23",10,5
"16","ckanr","ropensci","2014-11-12","2015-01-03",10,2
"17","Intro","rstudio","2014-11-11","2014-11-12",80,56
"18","DT","rstudio","2014-11-11","2015-02-15",24,3
"19","Wiley-ADCR","crubba","2014-11-04","2014-11-04",7,8
"20","Rdym","wrathematics","2014-10-24","2015-01-29",18,1
"21","harbor","wch","2014-10-22","2015-01-08",7,1
"22","secure","hadley","2014-10-07","2014-10-24",34,5
"23","dockr","wch","2014-10-07","2015-02-02",11,2
"24","gggeom","rstudio","2014-10-07","2014-11-17",8,3
"25","regulaR","jimhester","2014-09-22","2014-09-24",15,1
"26","secede-2014","hrbrmstr","2014-09-20","2014-09-20",13,3
"27","diffr","petermeissner","2014-09-11","2015-02-23",11,0
"28","shinyStore","trestletech","2014-09-10","2014-09-26",16,1
"29","sas7bdat.parso","BioStatMatt","2014-09-08","2015-02-06",7,2
"30","remake","richfitz","2014-09-06","2015-02-20",68,6
"31","datapackage","ropensci","2014-09-04","2015-02-25",9,3
"32","ggplot2ToGgvis","jimhester","2014-08-28","2014-09-18",8,6
"33","usdanutrients","hadley","2014-08-25","2014-08-25",9,0
"34","dtupdate","hrbrmstr","2014-08-21","2014-08-31",8,0
"35","ffbase2","edwindj","2014-08-11","2015-01-09",9,0
"36","dpmr","christophergandrud","2014-08-03","2015-01-31",14,4
"37","drinkr","rasmusab","2014-07-30","2014-11-25",8,5
"38","RcppR6","richfitz","2014-07-25","2015-02-17",9,0
"39","rmdformats","juba","2014-07-08","2015-01-23",26,4
"40","meme","leeper","2014-06-15","2014-06-20",63,6
"41","agebyname","ramnathv","2014-06-01","2014-06-02",8,1
"42","fulltext","ropensci","2014-05-29","2015-02-08",10,5
"43","rpushbullet","eddelbuettel","2014-05-24","2015-02-09",20,5
"44","plyrToDplyr","jimhester","2014-05-22","2014-05-22",18,9
"45","pkgkitten","eddelbuettel","2014-05-22","2014-09-11",9,3
"46","IRL","bwlewis","2014-05-17","2014-09-14",7,1
"47","bookdown","hadley","2014-05-13","2014-12-12",16,10
