"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN","Package","YearCreated"
"1","ML_for_Hackers","johnmyleswhite","2012-02-10","2013-12-13",1864,1331,NA,"Other","2012"
"2","ggplot2","hadley","2008-05-25","2015-08-31",1434,505,"2015-03-17","CRAN","2008"
"3","shiny","rstudio","2012-06-20","2015-08-31",1366,704,"2015-08-05","CRAN","2012"
"4","swirl_courses","swirldev","2014-02-23","2015-08-30",1217,3232,NA,"Other","2014"
"5","AnomalyDetection","twitter","2014-12-09","2015-08-31",1126,184,NA,"Other","2014"
"6","devtools","hadley","2010-05-03","2015-08-31",1092,327,"2015-05-09","CRAN","2010"
"7","knitr","yihui","2011-10-17","2015-09-01",986,446,"2015-08-14","CRAN","2011"
"8","dplyr","hadley","2012-10-28","2015-09-01",886,351,"2015-06-16","CRAN","2012"
"9","awesome-R","qinwf","2014-07-19","2015-09-01",883,313,NA,"Other","2014"
"10","benchm-ml","szilard","2015-03-28","2015-08-30",651,64,NA,"Other","2015"
"11","slidify","ramnathv","2012-06-07","2015-06-10",577,237,NA,"Other","2012"
"12","SparkR-pkg","amplab-extras","2013-12-21","2015-05-29",518,242,NA,"Other","2013"
"13","ggvis","rstudio","2013-04-30","2015-06-22",469,135,"2015-06-06","CRAN","2013"
"14","ggthemes","jrnold","2012-09-07","2015-08-16",453,97,"2015-07-01","CRAN","2012"
"15","plyr","hadley","2008-11-19","2015-08-06",404,94,"2015-06-12","CRAN","2008"
"16","rvest","hadley","2014-07-23","2015-07-21",398,85,"2015-01-01","CRAN","2014"
"17","CausalImpact","google","2014-08-08","2015-08-13",398,51,NA,"Other","2014"
"18","httr","hadley","2011-11-11","2015-08-25",379,1061,"2015-06-25","CRAN","2011"
"19","r-ninja","yihui","2012-03-19","2015-08-07",370,197,NA,"Other","2012"
"20","ProjectTemplate","johnmyleswhite","2010-08-24","2015-08-27",358,97,"2014-10-06","CRAN","2010"
"21","rmarkdown","rstudio","2014-01-22","2015-08-30",358,201,"2015-08-30","CRAN","2014"
"22","DiagrammeR","rich-iannone","2014-12-28","2015-09-01",342,55,"2015-06-11","CRAN","2014"
