"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN"
"1","ML_for_Hackers","johnmyleswhite","2012-02-10","2013-12-13",1864,1331,NA
"2","ggplot2","hadley","2008-05-25","2015-08-31",1434,505,"2015-03-17"
"3","shiny","rstudio","2012-06-20","2015-08-31",1366,704,"2015-08-05"
"4","swirl_courses","swirldev","2014-02-23","2015-08-30",1217,3232,NA
"5","AnomalyDetection","twitter","2014-12-09","2015-08-31",1126,184,NA
"6","devtools","hadley","2010-05-03","2015-08-31",1092,327,"2015-05-09"
"7","knitr","yihui","2011-10-17","2015-09-01",986,446,"2015-08-14"
"8","dplyr","hadley","2012-10-28","2015-09-01",886,351,"2015-06-16"
"9","awesome-R","qinwf","2014-07-19","2015-09-01",883,313,NA
"10","benchm-ml","szilard","2015-03-28","2015-08-30",651,64,NA
"11","slidify","ramnathv","2012-06-07","2015-06-10",577,237,NA
"12","SparkR-pkg","amplab-extras","2013-12-21","2015-05-29",518,242,NA
"13","ggvis","rstudio","2013-04-30","2015-06-22",469,135,"2015-06-06"
"14","ggthemes","jrnold","2012-09-07","2015-08-16",453,97,"2015-07-01"
"15","plyr","hadley","2008-11-19","2015-08-06",404,94,"2015-06-12"
"16","rvest","hadley","2014-07-23","2015-07-21",398,85,"2015-01-01"
"17","CausalImpact","google","2014-08-08","2015-08-13",398,51,NA
"18","httr","hadley","2011-11-11","2015-08-25",379,1061,"2015-06-25"
"19","r-ninja","yihui","2012-03-19","2015-08-07",370,197,NA
"20","ProjectTemplate","johnmyleswhite","2010-08-24","2015-08-27",358,97,"2014-10-06"
"21","rmarkdown","rstudio","2014-01-22","2015-08-30",358,201,"2015-08-30"
"22","DiagrammeR","rich-iannone","2014-12-28","2015-09-01",342,55,"2015-06-11"
"23","labs","genomicsclass","2013-12-12","2015-09-01",342,776,NA
"24","swirl","swirldev","2013-10-12","2015-09-01",341,251,"2015-01-04"
"25","wesanderson","karthik","2014-03-18","2015-04-26",297,32,"2015-01-22"
"26","ProgrammingAssignment2","rdpeng","2014-01-14","2015-08-29",280,70143,NA
"27","magrittr","smbache","2014-01-01","2015-08-13",275,41,"2014-11-22"
"28","Caffo-Coursera","bcaffo","2012-06-27","2015-04-29",273,537,NA
"29","broom","dgrtwo","2014-09-11","2015-09-01",270,48,"2015-05-06"
"30","IRkernel","IRkernel","2014-02-26","2015-08-17",269,46,NA
"31","htmlwidgets","ramnathv","2014-07-17","2015-08-30",269,67,"2015-06-21"
"32","MLNotes","johnmyleswhite","2012-07-21","2012-08-05",261,54,NA
"33","testthat","hadley","2009-09-02","2015-08-29",247,112,"2015-05-22"
"34","SIT","systematicinvestor","2011-10-03","2015-09-01",243,235,NA
"35","BanditsBook","johnmyleswhite","2012-10-25","2013-12-10",240,87,NA
"36","asdfree","ajdamico","2012-07-04","2015-09-01",226,217,NA
"37","mlr","mlr-org","2013-08-29","2015-09-01",224,73,"2015-06-13"
"38","r-source","wch","2012-09-08","2015-09-01",205,58,NA
"39","SimpleAintEasy","johnmyleswhite","2014-02-19","2014-03-06",202,15,NA
"40","leo-senate-model","TheUpshot","2014-04-22","2014-05-02",202,45,NA
"41","googlesheets","jennybc","2014-10-24","2015-08-28",201,27,"2015-07-05"
"42","tidyr","hadley","2014-06-10","2015-08-25",200,57,"2014-12-05"
"43","ggplot2-tutorial","echen","2012-01-17","2012-10-07",199,67,NA
"44","plotly","ropensci","2013-11-21","2015-08-26",194,55,NA
"45","learnR","renkun-ken","2014-04-03","2015-06-08",189,143,NA
"46","opencpu","jeroenooms","2013-05-21","2015-06-23",180,42,"2015-01-31"
"47","build-emacs","caldwell","2011-06-18","2015-05-12",168,23,NA
"48","lubridate","hadley","2009-03-11","2015-05-13",168,65,"2013-12-31"
"49","twitter-sentiment-analysis-tutorial-201107","jeffreybreen","2011-07-13","2011-07-13",167,173,NA
"50","caret","topepo","2014-05-16","2015-08-31",158,97,"2015-07-17"
"51","forecast","robjhyndman","2012-04-22","2015-08-19",155,68,"2015-05-12"
"52","roxygen","klutometis","2011-05-18","2015-08-22",151,71,NA
"53","twitteR","geoffjentry","2011-08-10","2015-08-09",149,106,"2015-07-29"
"54","ida","briatte","2013-01-16","2014-12-13",147,36,NA
"55","googleVis","mages","2014-02-09","2015-08-29",147,70,"2015-08-26"
"56","bayesian_first_aid","rasmusab","2014-01-04","2015-08-12",145,15,NA
"57","renjin","bedatadriven","2012-12-29","2015-09-01",144,31,NA
"58","editR","swarm-lab","2015-01-01","2015-05-23",143,15,NA
"59","hadoop-R","jseidman","2011-07-22","2012-10-17",142,62,NA
"60","agency-loan-level","toddwschneider","2015-06-09","2015-06-09",138,29,NA
"61","ggthemr","cttobin","2013-10-06","2015-06-28",137,21,NA
"62","rappor","google","2014-10-16","2015-08-29",134,26,NA
"63","packrat","rstudio","2013-10-08","2015-08-31",131,32,"2015-06-16"
"64","pander","Rapporter","2012-05-25","2015-08-25",130,35,"2015-05-18"
"65","rstan","stan-dev","2013-05-22","2015-08-31",128,40,"2015-07-18"
"66","rplos","ropensci","2011-06-02","2015-08-25",123,85,"2015-08-05"
"67","dirichlet-process","echen","2012-03-20","2015-04-15",123,30,NA
"68","reshape","hadley","2008-08-20","2015-08-26",120,38,"2014-04-23"
"69","d3Network","christophergandrud","2013-06-12","2015-01-31",118,36,"2015-01-31"
"70","rga","skardhamar","2012-11-27","2015-09-01",116,70,NA
"71","revere","kjhealy","2013-06-10","2015-01-27",114,40,NA
"72","ggmap","dkahle","2011-11-29","2015-08-20",113,55,"2015-08-21"
"73","networkD3","christophergandrud","2014-08-01","2015-08-27",113,75,"2015-08-25"
"74","remake","richfitz","2014-09-06","2015-07-29",112,10,NA
"75","engsoccerdata","jalapic","2014-08-01","2015-07-27",109,44,NA
"76","top-github-users-data","JJ","2014-12-04","2015-09-01",109,18,NA
"77","shiny-salesman","toddwschneider","2014-09-14","2014-10-02",109,26,NA
"78","osd-street-center-line","Chicago","2013-01-26","2015-08-03",107,25,NA
"79","purrr","hadley","2014-11-29","2015-08-25",105,23,NA
"80","Intro","rstudio","2014-11-11","2014-11-12",104,120,NA
"81","lintr","jimhester","2014-09-28","2015-08-12",103,17,"2014-12-01"
"82","stringr","hadley","2009-11-08","2015-08-05",101,34,"2015-04-30"
"83","knitcitations","cboettig","2012-03-25","2015-06-10",101,21,"2015-05-26"
