"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN"
"2","ggplot2","hadley","2008-05-25","2015-09-01",1434,506,"2015-03-17"
"3","shiny","rstudio","2012-06-20","2015-08-31",1366,704,"2015-08-05"
"6","devtools","hadley","2010-05-03","2015-08-31",1092,326,"2015-05-09"
"7","knitr","yihui","2011-10-17","2015-09-01",986,446,"2015-08-14"
"8","dplyr","hadley","2012-10-28","2015-09-01",886,351,"2015-06-16"
"13","ggvis","rstudio","2013-04-30","2015-06-22",469,135,"2015-06-06"
"14","ggthemes","jrnold","2012-09-07","2015-08-16",453,97,"2015-07-01"
"15","plyr","hadley","2008-11-19","2015-08-06",404,94,"2015-06-12"
"16","rvest","hadley","2014-07-23","2015-07-21",398,85,"2015-01-01"
"18","httr","hadley","2011-11-11","2015-08-25",379,1061,"2015-06-25"
"20","rmarkdown","rstudio","2014-01-22","2015-08-30",358,201,"2015-08-30"
"21","ProjectTemplate","johnmyleswhite","2010-08-24","2015-09-01",358,97,"2014-10-06"
"22","DiagrammeR","rich-iannone","2014-12-28","2015-09-01",342,55,"2015-06-11"
"24","swirl","swirldev","2013-10-12","2015-09-01",341,251,"2015-01-04"
"25","wesanderson","karthik","2014-03-18","2015-04-26",297,32,"2015-01-22"
"27","magrittr","smbache","2014-01-01","2015-08-13",275,41,"2014-11-22"
"29","broom","dgrtwo","2014-09-11","2015-09-01",270,48,"2015-05-06"
"31","htmlwidgets","ramnathv","2014-07-17","2015-08-30",269,67,"2015-06-21"
"33","testthat","hadley","2009-09-02","2015-08-29",247,112,"2015-05-22"
"37","mlr","mlr-org","2013-08-29","2015-09-01",224,73,"2015-06-13"
"41","tidyr","hadley","2014-06-10","2015-08-25",201,57,"2014-12-05"
"42","googlesheets","jennybc","2014-10-24","2015-09-01",201,27,"2015-07-05"
"46","opencpu","jeroenooms","2013-05-21","2015-06-23",180,42,"2015-01-31"
"48","lubridate","hadley","2009-03-11","2015-05-13",168,65,"2013-12-31"
"50","caret","topepo","2014-05-16","2015-08-31",158,97,"2015-07-17"
"51","forecast","robjhyndman","2012-04-22","2015-08-19",155,68,"2015-05-12"
"53","twitteR","geoffjentry","2011-08-10","2015-08-09",149,106,"2015-07-29"
"55","googleVis","mages","2014-02-09","2015-08-29",147,70,"2015-08-26"
"63","packrat","rstudio","2013-10-08","2015-08-31",131,32,"2015-06-16"
"64","pander","Rapporter","2012-05-25","2015-08-25",130,35,"2015-05-18"
"65","rstan","stan-dev","2013-05-22","2015-09-01",128,40,"2015-07-18"
"66","rplos","ropensci","2011-06-02","2015-08-25",123,85,"2015-08-05"
"68","reshape","hadley","2008-08-20","2015-08-26",120,38,"2014-04-23"
"69","d3Network","christophergandrud","2013-06-12","2015-01-31",118,36,"2015-01-31"
"72","ggmap","dkahle","2011-11-29","2015-08-20",113,55,"2015-08-21"
"73","networkD3","christophergandrud","2014-08-01","2015-09-01",113,75,"2015-08-25"
"81","lintr","jimhester","2014-09-28","2015-08-12",103,17,"2014-12-01"
"82","stringr","hadley","2009-11-08","2015-08-05",101,34,"2015-04-30"
"83","knitcitations","cboettig","2012-03-25","2015-06-10",101,21,"2015-05-26"
"85","bigrquery","hadley","2013-05-22","2015-07-04",100,42,"2015-01-13"
"87","Rfacebook","pablobarbera","2013-10-14","2015-08-22",99,97,"2015-08-07"
"95","choroplethr","trulia","2014-01-08","2015-03-09",87,37,"2015-08-27"
"97","Rook","jeffreyhorner","2011-04-21","2015-07-30",87,20,"2014-10-20"
"98","DT","rstudio","2014-11-11","2015-08-28",86,26,"2015-06-09"
"99","pipeR","renkun-ken","2014-04-07","2015-07-29",86,19,"2015-07-08"
"100","ReporteRs","davidgohel","2014-01-27","2015-08-04",84,16,"2015-08-03"
"104","R6","wch","2014-05-07","2015-08-19",82,16,"2015-08-19"
"105","stationaRy","rich-iannone","2013-11-21","2015-08-22",80,9,"2015-06-23"
"106","RGoogleAnalytics","Tatvic","2014-05-14","2015-06-21",80,57,"2014-08-16"
"112","covr","jimhester","2014-12-21","2015-08-29",75,24,"2015-06-25"
"114","PivotalR","pivotalsoftware","2013-05-01","2015-08-05",75,29,"2015-01-03"
"118","rio","leeper","2015-02-23","2015-07-01",73,7,"2015-05-07"
"119","likert","jbryer","2012-05-04","2015-05-05",72,39,"2014-10-17"
"122","titanic","trevorstephens","2014-01-10","2014-01-19",71,138,"2015-08-31"
"124","caretEnsemble","zachmayer","2013-03-01","2015-08-12",70,30,"2015-01-16"
"128","formatR","yihui","2010-11-16","2015-04-30",68,17,"2015-04-21"
"132","rex","kevinushey","2014-09-23","2015-07-16",66,6,"2015-04-28"
"133","shinystan","stan-dev","2015-02-25","2015-08-31",66,15,"2015-08-10"
"134","shinyAce","trestletech","2013-10-11","2015-06-29",65,12,"2013-11-05"
"135","extrafont","wch","2012-05-17","2014-12-08",64,15,"2014-12-08"
"137","reports","trinker","2013-02-18","2015-07-03",64,13,"2014-12-21"
"138","quanteda","kbenoit","2012-08-15","2015-08-27",64,12,"2015-08-18"
"145","shinyBS","ebailey78","2014-01-21","2015-04-28",62,18,"2015-03-31"
"146","pryr","hadley","2013-01-07","2015-06-22",62,26,"2015-06-20"
"147","lambda.r","zatonovo","2012-07-18","2015-03-20",62,6,"2015-03-20"
"151","waffle","hrbrmstr","2015-03-18","2015-06-15",61,9,"2015-03-23"
"152","bigrf","aloysius-lim","2013-01-31","2015-01-18",60,19,"2014-05-16"
"153","rredis","bwlewis","2010-01-26","2015-08-06",60,18,"2015-07-05"
"154","openxlsx","awalker89","2014-04-25","2015-08-29",60,15,"2015-07-03"
"156","shinyjs","daattali","2015-01-26","2015-08-25",60,8,"2015-08-13"
"157","pixiedust","nutterb","2015-07-23","2015-09-01",59,4,"2015-08-03"
"160","taxize","ropensci","2011-05-19","2015-08-26",58,17,"2015-08-07"
"165","pitchRx","cpsievert","2012-08-06","2015-07-14",55,9,"2015-04-04"
"167","elastic","ropensci","2013-11-14","2015-08-27",55,12,"2015-07-03"
"168","pystr","nicolewhite","2015-07-13","2015-08-06",55,2,"2015-07-14"
"175","circlize","jokergoo","2013-04-18","2015-08-18",52,11,"2015-08-19"
"178","RSocrata","Chicago","2013-09-16","2015-07-25",52,29,"2015-07-13"
"180","corrplot","taiyun","2011-12-04","2015-06-25",51,18,"2013-10-15"
"181","animation","yihui","2010-11-16","2015-08-16",51,32,"2015-08-16"
"185","lavaan","yrosseel","2011-04-27","2015-09-01",50,14,"2015-04-06"
"191","installr","talgalili","2013-03-01","2015-08-18",49,26,"2015-06-13"
"192","ggsubplot","garrettgman","2012-09-03","2015-07-09",48,12,"2013-12-14"
"193","streamR","pablobarbera","2013-03-05","2015-07-27",48,28,"2014-01-07"
"197","broman","kbroman","2009-04-28","2015-08-26",48,14,"2015-08-05"
"198","rentrez","ropensci","2012-02-11","2015-08-05",47,11,"2015-06-26"
"200","gender","ropensci","2014-02-19","2015-08-26",47,4,"2015-08-22"
"201","rnoaa","ropensci","2013-07-08","2015-08-25",47,14,"2015-07-08"
"202","WDI","vincentarelbundock","2012-04-01","2014-03-26",47,21,"2013-08-20"
"203","sas7bdat","BioStatMatt","2011-04-18","2015-03-13",47,12,"2014-06-04"
"204","scholar","jkeirstead","2013-10-21","2015-04-25",47,11,"2014-08-22"
"206","beepr","rasmusab","2014-01-26","2015-06-17",47,5,"2015-06-14"
